Computer_Idn,SystemPerformance_Idn,MemScore,CPUScore,GraphicsScore,GamingScore,DiskScore
5718,4741,8.1,8.1,6.6,9.9,8.15
5724,4896,7.8,7.5,5.4,9.9,9.05
5725,4819,8.8,8.8,6.7,9.9,8.7
5728,4744,8.7,8.7,5.1,9.9,8.05
5729,4745,8.9,8.9,6.3,9.9,9.25
5730,4746,9.1,9.1,8,9.9,8.15
5732,4747,7.9,7.7,5.9,9.9,9.2
5735,4748,8.8,8.8,6.1,9.9,5.9
5736,4749,5.9,7.4,4.9,9.9,8.15
5738,4751,8.9,8.9,6.1,9.9,8.15
5739,4753,7.5,7.5,4.9,9.9,8.1
5744,4757,8.3,8.3,8,9.9,9.15
5750,4760,9.1,9.1,6.5,9.9,8.1
5758,4893,8.7,8.7,5.1,9.9,8.15
5759,5062,5.9,8.3,4.7,9.9,5.9
5762,4770,7.7,7.6,6.8,6.8,7.9
5763,4771,9.1,9.1,6.7,9.9,8.1
5764,4772,8.3,8.3,6.4,9.9,7.7
5765,4782,7.6,7.5,6.3,9.9,8.1
5769,4783,8.3,8.3,8.1,9.9,8
5771,4857,8.7,8.7,6.9,9.9,8.2
5782,4841,9.1,9.1,8,9.9,9.15
5784,5148,9.1,9.1,8.4,9.9,9.2
5792,4796,7.8,7.6,6.5,9.9,8.85
5802,4807,8.8,8.8,6.7,9.9,8.15
5842,4925,9,9,8,9.9,8.95
5843,4884,9.1,9.1,8,9.9,9.2
5844,4843,8.8,8.8,5.3,9.9,8.15
5854,4964,8.8,8.8,5.6,9.9,9.1
5855,4890,8.6,8.6,4.9,9.9,8.05
5856,4926,9.1,9.1,8,9.9,9.2
5872,4851,8.9,8.9,6.8,9.9,9.25
5875,4855,5.9,7.1,4.7,6.5,7.9
5881,4883,9.1,9.1,8.4,9.9,8.45
5889,5005,8.9,8.9,3.8,9.9,9.05
5892,4860,7.5,7.4,5.7,9.9,8.15
5898,4907,8.7,8.7,6.9,9.9,9.2
5913,4901,8.8,8.8,6.5,9.9,8.15
