Computer_Idn,Manufacturer,Chipset,NumSlots,FRUGrpIndex,OPGrpIndex,MaxCPU,ProductName,MBVersion,SerialNum,BusSpeed,PCISlots,PCISlotsAvail
2220,LENOVO,NULL,NULL,NULL,NULL,2794,20EF000NUS,SDK0E50510 WIN,W1KS5C8118V,1600,0,0
2222,Hewlett-Packard,NULL,NULL,NULL,NULL,3592,18E4,NULL,MXL4512F5S,1600,0,0
2225,Hewlett-Packard,NULL,NULL,NULL,NULL,3601,18E4,NULL,MXL512124Y,1600,0,0
2240,LENOVO,NULL,NULL,NULL,NULL,2808,20FB005WUS,SDK0J40705 WIN,W1KS66K12FL,1867,0,0
2241,LENOVO,NULL,NULL,NULL,NULL,2808,20FB002LUS,SDK0J40705 WIN,W1KS6AX10Y6,1867,0,0
2256,LENOVO,NULL,NULL,NULL,NULL,2808,20FB005WUS,SDK0J40705 WIN,W1KS66E10N7,1867,0,0
2257,LENOVO,NULL,NULL,NULL,NULL,2808,20ENS0D000,SDK0J40697 WIN,L1HF66D029M,2133,0,0
2259,Microsoft Corporation,NULL,NULL,NULL,NULL,2808,Surface Book,NULL,A84606030286703A,1867,0,0
2265,HP,NULL,NULL,NULL,NULL,2592,8079,KBC Version 85.77,PFKZV00WB64085,2133,1,1
2268,HP,NULL,NULL,NULL,NULL,2808,80FA,KBC Version 01.72,PFUFQ048J5808M,2133,1,1
2280,Hewlett-Packard,NULL,NULL,NULL,NULL,2601,2216,KBC Version 96.55,PEMVZ00WB8U0BX,1600,1,1
2283,HP,NULL,NULL,NULL,NULL,2592,81A0,48.67,PFXLRO2MY39RMB,1867,0,0
2291,HP,NULL,NULL,NULL,NULL,2808,80FA,KBC Version 01.72,PFUFQ048J5800N,2133,1,1
2303,HP,NULL,NULL,NULL,NULL,2496,80FA,KBC Version 01.72,PFUFP038J550FC,2133,1,1
2309,Hewlett-Packard,NULL,NULL,NULL,NULL,2201,2216,KBC Version 96.5B,PEVEA00WB8T206,1600,1,1
2310,ASUSTeK COMPUTER INC.,NULL,NULL,NULL,NULL,2494,G751JY,1.0,BSN12345678901234567,1600,0,0
2311,LENOVO,NULL,NULL,NULL,NULL,2794,20EF001DUS,SDK0E50510 WIN,W1KS54P109N,1600,0,0
2312,LENOVO,NULL,NULL,NULL,NULL,2801,20EF000MUS,SDK0E50510 WIN,W1KS56310FZ,1600,0,0
2318,Dell Inc.,NULL,NULL,NULL,NULL,2801,05FFDN,A00,/HMCRYF2/CN1296373601EC/,2400,1,1
2325,LENOVO,NULL,NULL,NULL,NULL,2592,20F6006XPB,SDK0J40705 WIN,L1HF67K03D9,2133,0,0
2329,LENOVO,NULL,NULL,NULL,NULL,2808,20FB005WUS,SDK0J40705 WIN,W1KS66K13V6,1867,0,0
2333,Dell Inc.,NULL,NULL,NULL,NULL,2533,0DPRKF,A04,..CN1374017N00A4.,1333,0,0
2334,Hewlett-Packard,NULL,NULL,NULL,NULL,2201,2216,KBC Version 96.5B,PEVMN00WB1422Q,1600,1,1
2336,LENOVO,NULL,NULL,NULL,NULL,2594,20BWS3SV02,SDK0E50511 WIN,L1HF5BY0878,1600,0,0
2337,Hewlett-Packard,NULL,NULL,NULL,NULL,2201,2216,KBC Version 96.5B,PEVMN00WB2109G,1600,1,1
2339,LENOVO,NULL,NULL,NULL,NULL,2494,20BG0045UK,SDK0E50510 WIN,W1KS48T11AM,1600,0,0
2340,LENOVO,NULL,NULL,NULL,NULL,2601,20BWS3SV02,SDK0E50511 WIN,L1HF61S068E,1600,0,0
2342,LENOVO,NULL,NULL,NULL,NULL,2592,20ENCTO1WW,SDK0J40705 WIN,L1HF63B02M2,2133,0,0
2347,Hewlett-Packard,NULL,NULL,NULL,NULL,2201,225A,KBC Version 96.58,PEVDF00WB9V4C9,1600,1,1
2348,HP,NULL,NULL,NULL,NULL,2592,8079,KBC Version 85.77,PFKZV00WB6409U,2133,1,1
2350,Intel Corporation,NULL,NULL,NULL,NULL,2300,440BX Desktop Reference Platform,NULL,NULL,NULL,4,2
